,#agent actions,#computer actions,epsilon,result
0,3,2,1.0,win
1,5,4,0.995,win
2,4,3,0.990025,win
3,5,4,0.985074875,tie
4,4,3,0.9801495006250001,win
5,4,3,0.9752487531218751,win
6,5,4,0.9703725093562657,tie
7,5,4,0.9655206468094844,tie
8,3,2,0.960693043575437,win
9,3,2,0.9558895783575597,win
10,4,3,0.9511101304657719,win
11,5,4,0.946354579813443,tie
12,4,4,0.9416228069143757,loss
13,4,4,0.9369146928798039,loss
14,5,4,0.9322301194154049,tie
15,5,4,0.9275689688183278,win
16,4,3,0.9229311239742362,win
17,5,4,0.918316468354365,win
18,4,3,0.9137248860125932,win
19,4,4,0.9091562615825302,loss
20,4,4,0.9046104802746175,loss
21,4,4,0.9000874278732445,loss
22,5,4,0.8955869907338783,tie
23,5,4,0.8911090557802088,tie
24,4,4,0.8866535105013078,loss
25,4,4,0.8822202429488013,loss
26,5,4,0.8778091417340573,tie
27,3,3,0.8734200960253871,loss
28,4,3,0.8690529955452602,win
29,5,4,0.8647077305675338,tie
30,4,4,0.8603841919146962,loss
31,4,3,0.8560822709551227,win
32,5,4,0.851801859600347,win
33,5,4,0.8475428503023453,win
34,5,4,0.8433051360508336,win
35,3,3,0.8390886103705794,loss
36,5,4,0.8348931673187264,win
37,4,3,0.8307187014821328,win
38,5,4,0.8265651079747222,tie
39,5,4,0.8224322824348486,win
40,5,4,0.8183201210226743,win
41,4,3,0.8142285204175609,win
42,4,3,0.810157377815473,win
43,4,3,0.8061065909263957,win
44,5,4,0.8020760579717637,win
45,3,2,0.798065677681905,win
46,3,2,0.7940753492934954,win
47,5,4,0.7901049725470279,win
48,5,4,0.7861544476842928,win
49,4,3,0.7822236754458713,win
50,5,4,0.778312557068642,win
51,4,3,0.7744209942832988,win
52,4,4,0.7705488893118823,loss
53,4,4,0.7666961448653229,loss
54,5,4,0.7628626641409962,tie
55,5,4,0.7590483508202912,tie
56,4,4,0.7552531090661897,loss
57,4,3,0.7514768435208588,win
58,5,4,0.7477194593032545,tie
59,5,4,0.7439808620067382,tie
60,4,4,0.7402609576967045,loss
61,5,4,0.736559652908221,tie
62,4,4,0.7328768546436799,loss
63,5,4,0.7292124703704616,win
64,3,3,0.7255664080186093,loss
65,4,3,0.7219385759785162,win
66,4,4,0.7183288830986236,loss
67,4,3,0.7147372386831305,win
68,4,3,0.7111635524897149,win
69,4,4,0.7076077347272662,loss
70,5,4,0.7040696960536299,tie
71,3,3,0.7005493475733617,loss
72,5,4,0.697046600835495,tie
73,3,2,0.6935613678313175,win
74,5,4,0.6900935609921609,win
75,3,3,0.6866430931872001,loss
76,5,4,0.6832098777212641,tie
77,5,4,0.6797938283326578,tie
78,5,4,0.6763948591909945,win
79,3,2,0.6730128848950395,win
80,4,4,0.6696478204705644,loss
81,5,4,0.6662995813682115,win
82,4,3,0.6629680834613705,win
83,3,3,0.6596532430440636,loss
84,4,3,0.6563549768288433,win
85,5,4,0.653073201944699,win
86,4,3,0.6498078359349755,win
87,3,3,0.6465587967553006,loss
88,5,4,0.6433260027715241,tie
89,4,3,0.6401093727576664,win
90,3,3,0.6369088258938781,loss
91,3,3,0.6337242817644086,loss
92,5,4,0.6305556603555866,win
93,5,4,0.6274028820538087,tie
94,4,4,0.6242658676435396,loss
95,5,4,0.6211445383053219,win
96,5,4,0.6180388156137953,win
97,4,3,0.6149486215357263,win
98,5,4,0.6118738784280476,win
99,3,2,0.6088145090359074,win
100,5,4,0.6057704364907278,win
101,5,4,0.6027415843082742,win
102,4,3,0.5997278763867329,win
103,4,3,0.5967292370047992,win
104,4,3,0.5937455908197752,win
105,4,3,0.5907768628656763,win
106,5,4,0.5878229785513479,win
107,4,3,0.5848838636585911,win
108,4,4,0.5819594443402982,loss
109,5,4,0.5790496471185967,win
110,5,4,0.5761543988830038,tie
111,4,4,0.5732736268885887,loss
112,4,4,0.5704072587541458,loss
113,5,4,0.567555222460375,tie
114,5,4,0.5647174463480732,win
115,4,3,0.5618938591163328,win
116,5,4,0.5590843898207511,win
117,5,4,0.5562889678716474,win
118,4,3,0.5535075230322891,win
119,4,3,0.5507399854171277,win
120,4,3,0.547986285490042,win
121,3,3,0.5452463540625918,loss
122,4,3,0.5425201222922789,win
123,4,4,0.5398075216808175,loss
124,3,3,0.5371084840724134,loss
125,5,4,0.5344229416520513,win
126,5,4,0.531750826943791,tie
127,4,4,0.5290920728090721,loss
128,5,4,0.5264466124450268,win
129,5,4,0.5238143793828016,win
130,3,2,0.5211953074858876,win
131,4,3,0.5185893309484582,win
132,5,4,0.5159963842937159,tie
133,4,3,0.5134164023722473,win
134,4,4,0.510849320360386,loss
135,4,4,0.5082950737585841,loss
136,4,4,0.5057535983897912,loss
137,4,3,0.5032248303978422,win
138,3,2,0.500708706245853,win
139,5,4,0.4982051627146237,win
140,5,4,0.49571413690105054,win
141,5,4,0.4932355662165453,tie
142,4,4,0.4907693883854626,loss
143,4,4,0.4883155414435353,loss
144,4,3,0.4858739637363176,win
145,5,4,0.483444593917636,tie
146,5,4,0.4810273709480478,win
147,5,4,0.47862223409330756,tie
148,4,3,0.47622912292284103,win
149,5,4,0.4738479773082268,tie
150,5,4,0.47147873742168567,tie
151,3,3,0.46912134373457726,loss
152,4,4,0.46677573701590436,loss
153,4,3,0.46444185833082485,win
154,5,4,0.46211964903917074,win
155,5,4,0.4598090507939749,win
156,3,2,0.457510005540005,win
157,4,4,0.45522245551230495,loss
158,4,4,0.4529463432347434,loss
159,4,4,0.4506816115185697,loss
160,5,4,0.4484282034609769,win
161,4,3,0.446186062443672,win
162,4,3,0.4439551321314536,win
163,4,4,0.4417353564707963,loss
164,5,4,0.43952667968844233,win
165,4,3,0.43732904629000013,win
166,5,4,0.4351424010585501,win
167,5,4,0.43296668905325736,tie
168,4,3,0.43080185560799106,win
169,3,2,0.4286478463299511,win
170,5,4,0.42650460709830135,win
171,3,3,0.42437208406280985,loss
172,5,4,0.4222502236424958,tie
173,5,4,0.42013897252428334,win
174,5,4,0.4180382776616619,tie
175,5,4,0.4159480862733536,win
176,5,4,0.41386834584198684,tie
177,4,3,0.4117990041127769,win
178,4,4,0.40974000909221303,loss
179,3,2,0.40769130904675194,win
180,5,4,0.40565285250151817,win
181,5,4,0.4036245882390106,win
182,4,4,0.4016064652978155,loss
183,4,3,0.3995984329713264,win
184,4,3,0.3976004408064698,win
185,5,4,0.39561243860243744,tie
186,4,3,0.3936343764094253,win
187,4,4,0.39166620452737816,loss
188,4,3,0.3897078735047413,win
189,4,3,0.3877593341372176,win
190,5,4,0.3858205374665315,win
191,5,4,0.38389143477919885,win
192,5,4,0.3819719776053028,win
193,5,4,0.3800621177172763,win
194,4,3,0.37816180712868996,win
195,4,3,0.37627099809304654,win
196,5,4,0.3743896431025813,win
197,5,4,0.37251769488706843,win
198,4,3,0.3706551064126331,win
199,5,4,0.36880183088056995,tie
200,5,4,0.3669578217261671,tie
201,5,4,0.36512303261753626,win
202,5,4,0.3632974174544486,tie
203,4,3,0.3614809303671764,win
204,4,3,0.3596735257153405,win
205,5,4,0.3578751580867638,win
206,4,4,0.35608578229633,loss
207,4,4,0.3543053533848483,loss
208,5,4,0.35253382661792404,win
209,5,4,0.3507711574848344,win
210,5,4,0.34901730169741024,tie
211,5,4,0.3472722151889232,tie
212,4,4,0.3455358541129786,loss
213,4,3,0.3438081748424137,win
214,4,4,0.3420891339682016,loss
215,4,3,0.3403786882983606,win
216,4,4,0.3386767948568688,loss
217,4,4,0.33698341088258443,loss
218,5,4,0.3352984938281715,tie
219,4,3,0.33362200135903064,win
220,5,4,0.33195389135223546,win
221,3,3,0.3302941218954743,loss
222,5,4,0.32864265128599696,tie
223,5,4,0.326999438029567,win
224,5,4,0.3253644408394192,tie
225,4,4,0.3237376186352221,loss
226,5,4,0.322118930542046,tie
227,3,2,0.32050833588933575,win
228,4,3,0.31890579420988907,win
229,3,3,0.3173112652388396,loss
230,4,4,0.3157247089126454,loss
231,3,2,0.3141460853680822,win
232,4,3,0.3125753549412418,win
233,5,4,0.31101247816653554,win
234,4,3,0.30945741577570285,win
235,4,4,0.3079101286968243,loss
236,5,4,0.3063705780533402,win
237,5,4,0.30483872516307353,win
238,4,3,0.3033145315372582,win
239,4,4,0.3017979588795719,loss
240,5,4,0.30028896908517405,win
241,4,4,0.2987875242397482,loss
242,3,3,0.29729358661854943,loss
243,4,3,0.29580711868545667,win
244,4,3,0.2943280830920294,win
245,5,4,0.29285644267656924,win
246,5,4,0.2913921604631864,tie
247,4,4,0.28993519966087045,loss
248,4,3,0.2884855236625661,win
249,3,3,0.28704309604425327,loss
250,4,3,0.285607880564032,win
251,5,4,0.28417984116121187,win
252,4,3,0.2827589419554058,win
253,4,3,0.28134514724562876,win
254,3,3,0.2799384215094006,loss
255,3,2,0.27853872940185365,win
256,4,3,0.27714603575484437,win
257,5,4,0.2757603055760701,tie
258,5,4,0.2743815040481898,tie
259,5,4,0.2730095965279488,win
260,5,4,0.27164454854530906,tie
261,4,3,0.2702863258025825,win
262,5,4,0.2689348941735696,win
263,5,4,0.26759021970270175,tie
264,4,3,0.2662522686041882,win
265,5,4,0.2649210072611673,win
266,3,2,0.26359640222486147,win
267,5,4,0.26227842021373715,win
268,4,3,0.2609670281126685,win
269,4,3,0.25966219297210513,win
270,4,4,0.2583638820072446,loss
271,3,2,0.2570720625972084,win
272,5,4,0.25578670228422234,tie
273,5,4,0.25450776877280124,tie
274,4,3,0.2532352299289372,win
275,5,4,0.2519690537792925,tie
276,3,3,0.2507092085103961,loss
277,4,4,0.2494556624678441,loss
278,4,4,0.24820838415550486,loss
279,4,4,0.24696734223472733,loss
280,5,4,0.2457325055235537,tie
281,4,4,0.24450384299593592,loss
282,3,3,0.24328132378095624,loss
283,5,4,0.24206491716205145,tie
284,4,3,0.2408545925762412,win
285,4,3,0.23965031961336,win
286,5,4,0.2384520680152932,win
287,4,3,0.23725980767521673,win
288,3,3,0.23607350863684065,loss
289,4,3,0.23489314109365644,win
290,4,3,0.23371867538818816,win
291,4,4,0.23255008201124722,loss
292,5,4,0.231387331601191,win
293,4,3,0.23023039494318503,win
294,3,3,0.2290792429684691,loss
295,4,3,0.22793384675362674,win
296,5,4,0.22679417751985861,win
297,4,3,0.22566020663225933,win
298,5,4,0.22453190559909803,win
299,3,3,0.22340924607110255,loss
300,5,4,0.22229219984074702,win
301,4,4,0.2211807388415433,loss
302,4,3,0.22007483514733558,win
303,4,3,0.2189744609715989,win
304,4,3,0.2178795886667409,win
305,3,3,0.2167901907234072,loss
306,5,4,0.21570623976979014,tie
307,5,4,0.21462770857094118,tie
308,5,4,0.21355457002808648,win
309,4,3,0.21248679717794605,win
310,4,4,0.21142436319205632,loss
311,4,4,0.21036724137609603,loss
312,3,2,0.20931540516921554,win
313,4,4,0.20826882814336947,loss
314,4,4,0.20722748400265262,loss
315,4,3,0.20619134658263935,win
316,4,3,0.20516038984972615,win
317,4,3,0.2041345879004775,win
318,4,3,0.2031139149609751,win
319,5,4,0.20209834538617025,tie
320,3,3,0.2010878536592394,loss
321,4,4,0.2000824143909432,loss
322,3,3,0.19908200231898848,loss
323,5,4,0.19808659230739353,win
324,3,3,0.19709615934585656,loss
325,5,4,0.19611067854912728,tie
326,5,4,0.19513012515638165,tie
327,4,4,0.19415447453059972,loss
328,5,4,0.19318370215794672,tie
329,4,3,0.192217783647157,win
330,4,4,0.1912566947289212,loss
331,4,3,0.1903004112552766,win
332,4,3,0.18934890919900021,win
333,3,3,0.18840216465300522,loss
334,5,4,0.18746015382974018,tie
335,4,3,0.1865228530605915,win
336,3,3,0.18559023879528855,loss
337,4,3,0.1846622876013121,win
338,5,4,0.18373897616330553,win
339,5,4,0.182820281282489,win
340,5,4,0.18190617987607657,tie
341,4,4,0.18099664897669618,loss
342,5,4,0.1800916657318127,win
343,3,2,0.17919120740315364,win
344,4,3,0.17829525136613786,win
345,4,3,0.17740377510930716,win
346,5,4,0.17651675623376062,win
347,4,3,0.1756341724525918,win
348,3,2,0.17475600159032884,win
349,4,3,0.17388222158237718,win
350,5,4,0.1730128104744653,tie
351,4,4,0.17214774642209296,loss
352,5,4,0.1712870076899825,win
353,4,3,0.17043057265153258,win
354,4,3,0.16957841978827493,win
355,3,2,0.16873052768933355,win
356,4,3,0.1678868750508869,win
357,4,4,0.16704744067563246,loss
358,5,4,0.1662122034722543,win
359,4,3,0.16538114245489302,win
360,3,2,0.16455423674261854,win
361,5,4,0.16373146555890544,win
362,5,4,0.16291280823111093,win
363,4,4,0.16209824418995536,loss
364,5,4,0.16128775296900558,win
365,4,4,0.16048131420416054,loss
366,4,3,0.15967890763313974,win
367,4,4,0.15888051309497406,loss
368,4,3,0.1580861105294992,win
369,5,4,0.1572956799768517,win
370,3,3,0.15650920157696743,loss
371,4,3,0.1557266555690826,win
372,5,4,0.1549480222912372,win
373,4,3,0.15417328217978102,win
374,4,4,0.1534024157688821,loss
375,4,3,0.1526354036900377,win
376,5,4,0.1518722266715875,win
377,5,4,0.15111286553822956,tie
378,5,4,0.15035730121053842,tie
379,5,4,0.14960551470448571,tie
380,4,3,0.14885748713096328,win
381,4,4,0.14811319969530845,loss
382,3,2,0.1473726336968319,win
383,3,3,0.14663577052834775,loss
384,3,2,0.14590259167570602,win
385,4,4,0.1451730787173275,loss
386,4,4,0.14444721332374086,loss
387,4,3,0.14372497725712216,win
388,4,4,0.14300635237083656,loss
389,5,4,0.14229132060898236,win
390,4,4,0.14157986400593744,loss
391,4,4,0.14087196468590776,loss
392,5,4,0.14016760486247823,win
393,4,3,0.13946676683816583,win
394,4,4,0.138769433003975,loss
395,3,2,0.13807558583895513,win
396,4,4,0.13738520790976036,loss
397,4,4,0.13669828187021155,loss
398,4,3,0.13601479046086049,win
399,4,3,0.1353347165085562,win
400,4,3,0.1346580429260134,win
401,4,3,0.13398475271138335,win
402,5,4,0.13331482894782642,win
403,3,3,0.13264825480308728,loss
404,5,4,0.13198501352907185,win
405,5,4,0.1313250884614265,win
406,5,4,0.13066846301911936,tie
407,4,4,0.13001512070402377,loss
408,5,4,0.12936504510050365,win
409,5,4,0.12871821987500112,tie
410,3,2,0.12807462877562611,win
411,5,4,0.12743425563174798,tie
412,3,3,0.12679708435358925,loss
413,4,4,0.1261630989318213,loss
414,4,4,0.1255322834371622,loss
415,4,3,0.12490462201997637,win
416,3,2,0.1242800989098765,win
417,4,3,0.12365869841532712,win
418,4,3,0.12304040492325048,win
419,3,2,0.12242520289863423,win
420,4,3,0.12181307688414106,win
421,5,4,0.12120401149972035,win
422,4,3,0.12059799144222175,win
423,3,3,0.11999500148501063,loss
424,3,3,0.11939502647758558,loss
425,4,3,0.11879805134519765,win
426,4,3,0.11820406108847166,win
427,4,3,0.1176130407830293,win
428,3,2,0.11702497557911415,win
429,5,4,0.11643985070121858,tie
430,5,4,0.11585765144771248,win
431,5,4,0.11527836319047392,win
432,4,3,0.11470197137452155,win
433,4,3,0.11412846151764894,win
434,4,3,0.1135578192100607,win
435,4,3,0.11299003011401039,win
436,4,3,0.11242507996344034,win
437,4,4,0.11186295456362313,loss
438,4,4,0.11130363979080501,loss
439,4,3,0.11074712159185099,win
440,5,4,0.11019338598389174,win
441,4,3,0.10964241905397228,win
442,5,4,0.10909420695870241,win
443,3,2,0.1085487359239089,win
444,4,3,0.10800599224428936,win
445,4,3,0.10746596228306791,win
446,5,4,0.10692863247165257,win
447,4,3,0.1063939893092943,win
448,5,4,0.10586201936274783,tie
449,4,4,0.10533270926593409,loss
450,5,4,0.10480604571960442,win
451,5,4,0.1042820154910064,tie
452,4,3,0.10376060541355137,win
453,5,4,0.1032418023864836,win
454,4,3,0.10272559337455119,win
455,4,4,0.10221196540767843,loss
456,4,3,0.10170090558064004,win
457,5,4,0.10119240105273684,tie
458,4,3,0.10068643904747315,win
459,5,4,0.10018300685223579,win
460,4,4,0.0996820918179746,loss
461,5,4,0.09918368135888474,win
462,4,3,0.09868776295209031,win
463,3,2,0.09819432413732986,win
464,4,4,0.09770335251664321,loss
465,4,3,0.09721483575406,win
466,4,4,0.09672876157528969,loss
467,5,4,0.09624511776741324,win
468,4,3,0.09576389217857617,win
469,4,4,0.09528507271768329,loss
470,3,3,0.09480864735409487,loss
471,4,4,0.0943346041173244,loss
472,4,4,0.09386293109673778,loss
473,5,4,0.09339361644125409,win
474,5,4,0.09292664835904782,tie
475,5,4,0.09246201511725258,win
476,4,4,0.09199970504166631,loss
477,3,3,0.09153970651645797,loss
478,4,3,0.09108200798387568,win
479,3,3,0.0906265979439563,loss
480,4,4,0.09017346495423652,loss
481,4,4,0.08972259762946533,loss
482,5,4,0.089273984641318,win
483,5,4,0.0888276147181114,win
484,5,4,0.08838347664452084,tie
485,4,3,0.08794155926129824,win
486,4,3,0.08750185146499175,win
487,4,4,0.08706434220766679,loss
488,5,4,0.08662902049662846,win
489,4,4,0.08619587539414532,loss
490,4,3,0.08576489601717459,win
491,3,3,0.08533607153708872,loss
492,4,4,0.08490939117940327,loss
493,5,4,0.08448484422350626,win
494,3,2,0.08406242000238873,win
495,5,4,0.08364210790237678,win
496,4,3,0.0832238973628649,win
497,3,2,0.08280777787605056,win
498,4,3,0.08239373898667031,win
499,4,3,0.08198177029173696,win
500,3,2,0.08157186144027828,win
501,3,3,0.0811640021330769,loss
502,5,4,0.08075818212241151,win
503,4,4,0.08035439121179945,loss
504,5,4,0.07995261925574046,tie
505,4,3,0.07955285615946175,win
506,4,3,0.07915509187866444,win
507,4,3,0.07875931641927113,win
508,5,4,0.07836551983717477,win
509,4,4,0.07797369223798889,loss
510,4,3,0.07758382377679894,win
511,4,3,0.07719590465791494,win
512,3,3,0.07680992513462537,loss
513,5,4,0.07642587550895225,win
514,5,4,0.07604374613140748,win
515,4,4,0.07566352740075044,loss
516,4,3,0.07528520976374668,win
517,4,4,0.07490878371492794,loss
518,3,2,0.0745342397963533,win
519,3,3,0.07416156859737154,loss
520,4,3,0.07379076075438468,win
521,5,4,0.07342180695061275,win
522,4,3,0.07305469791585968,win
523,5,4,0.07268942442628039,win
524,4,3,0.07232597730414898,win
525,4,4,0.07196434741762824,loss
526,4,3,0.0716045256805401,win
527,4,3,0.0712465030521374,win
528,4,4,0.0708902705368767,loss
529,4,3,0.07053581918419231,win
530,5,4,0.07018314008827135,win
531,5,4,0.06983222438783,tie
532,4,3,0.06948306326589085,win
533,4,3,0.0691356479495614,win
534,3,2,0.06878996970981359,win
535,5,4,0.06844601986126451,win
536,4,4,0.06810378976195819,loss
537,4,4,0.0677632708131484,loss
538,3,2,0.06742445445908266,win
539,5,4,0.06708733218678724,win
540,3,3,0.0667518955258533,loss
541,5,4,0.06641813604822402,win
542,4,3,0.0660860453679829,win
543,5,4,0.06575561514114299,tie
544,4,3,0.06542683706543727,win
545,3,3,0.06509970288011008,loss
546,4,3,0.06477420436570952,win
547,4,4,0.06445033334388098,loss
548,5,4,0.06412808167716157,tie
549,5,4,0.06380744126877576,win
550,3,2,0.06348840406243188,win
551,4,4,0.06317096204211972,loss
552,3,2,0.06285510723190912,win
553,4,3,0.06254083169574957,win
554,4,3,0.062228127537270826,win
555,4,3,0.06191698689958447,win
556,4,4,0.061607401965086545,loss
557,5,4,0.06129936495526111,win
558,5,4,0.0609928681304848,win
559,4,3,0.060687903789832374,win
560,4,3,0.06038446427088321,win
561,4,3,0.06008254194952879,win
562,5,4,0.05978212923978115,tie
563,4,3,0.05948321859358224,win
564,5,4,0.05918580250061433,win
565,5,4,0.058889873488111255,win
566,5,4,0.058595424120670696,tie
567,5,4,0.05830244700006734,win
568,4,4,0.058010934765067,loss
569,4,3,0.05772088009124167,win
570,4,3,0.05743227569078546,win
571,3,3,0.05714511431233153,loss
572,5,4,0.05685938874076987,tie
573,4,3,0.056575091797066025,win
574,4,4,0.056292216338080694,loss
575,5,4,0.05601075525639029,win
576,4,4,0.05573070148010834,loss
577,4,3,0.0554520479727078,win
578,4,3,0.05517478773284426,win
579,4,3,0.05489891379418004,win
580,5,4,0.05462441922520914,tie
581,4,3,0.0543512971290831,win
